,name,short_name,mnemnoic,category,sector,second_sector,org_id
303,growth energy ,growth energy ,,association,energy,,7NwwM9FyDXyH
304,gtsi,gtsi,,contractor,technology,,7KPV3M3H9q5G
305,gunn group,gunn group,,consulting,other,,4YAGUPQsqHo8
306,gyrocam systems,gyrocam systems,,manufacturing,defense,aerospace,67ic24A5XGH5
307,hailston,hailston,,commercial,,,7upM8Z4ctfts
308,halotron,halotron,,commercial,retail,,5L7SLK6XUUYr
309,hamm r charles,hamm r charles,,consulting,other,,87xJhDgAGe4q
310,hampden sydney college,hampden sydney college,,university,education,,5iqyecScuysz
311,harrisburg collage,harrisburg collage,,university,education,,7LZsUSMU39BE
312,harvard university,harvard university,,university,education,,5gxauwCYpnqQ
313,hatch jr w monroe,hatch jr w monroe,,consulting,other,,4jAmuWN6jbtS
314,hawaii army museum society,hawaii army museum society,,"ngo, state or local",education,,4PdZteK2n4et
315,hawaii medical vitrification,hawaii medical vitrification,,commercial,services,,5QCN2kN4TcTX
316,hawaii pacific university,hawaii pacific university,,university,education,,5F7QBUoYDAUT
317,hawaiian electric industries,hawaiian electric industries,,commercial,energy,,4afGV756LZD5
318,hawkerbeechcraft corporation,hawkerbeechcraft corporation,,contractor,aerospace,,6TCUo5ibTaQe
319,health services consulting,health services consulting,,consulting,healthcare,,6DyQZYyffhPH
320,hekman m peter,hekman m peter,,commercial,,,4Z3soVC6FHu5
321,herc products,herc products,,commercial,services,,3fFRMSF8aaH8
322,heritage foundation,heritage foundation,,think tank,national security,,3z9GGWwbkyeN
323,high flyer ventures,high flyer ventures,,commercial,services,,5jQv6wusAYAS
324,highway 12 ventures,highway 12 ventures,,venture capital,finance,,4Akfc5AcXzhK
325,hitachi foundation,,,"ngo, international",philanthropy,,DNqhNhAb3GTy
326,hmh associates,hmh associates,,commercial,real estate,,5W7UgE6TVRSr
327,hntb,hntb,,commercial,construction,,6sudotvynFvy
328,holy cross hospital,holy cross hospital,,commercial,healthcare,,3qtAf6NGNpLe
329,home depot,,,commercial,retail,,7CVLueJdM5Xr
330,home front cares,home front cares,,commercial,philanthropy,,68eJbfigvqmj
331,honeywell,honeywell,,manufacturing,technology,defense,3VPt77Ap5pY4
332,hoover institution,hoover institution,,think tank,national security,,76M4s64e9Qth
333,horne,horne,,commercial,construction,,3nAZzQAu2MYf
334,houston and associates,houston and associates,,auditor firm,finance,,8Fx8CpzMLY3q
335,howell estes and associates,howell estes and associates,,consulting,aerospace,,4u5p4vZyYoyE
336,hp,hp,,commercial,technology,,4J5E5P743a9s
337,hudson institute,hudson institute,,think tank,national security,,6SgZeKdPkqFD
338,humanetics pharmaceuticals,,,manufacturing,pharmacetical ,,6xTKUbuZmCQt
339,hunt ridge,hunt ridge,,commercial,,,6brrugEmJ5aa
340,hunting and shooting sports hertiage foundation,hunting and shooting sports hertiage foundation,,association,other,,5yYvGQQ3Mdur
341,hwb services,hwb services,,contractor,aerospace,,6v6frCJaPE6N
342,hwb services,hwb services,,commercial,,,4KZfjs7M9Q4h
343,i3 ideal innovations inc,i3 ideal innovations inc,,contractor,technology,,7UbSaZfU4tsR
344,iap,iap,,contractor,technology,,6safLqDRPMpy
345,ibm,ibm,,consulting,technology,,6XcpAMQbD2a6
346,iceweb,iceweb,,contractor,manufacturing,,4PcvhueLY6wT
347,icx technologies,icx technologies,,contractor,intelligence,,64xbipSjUGvD
348,idaho national laboratory,idaho national laboratory,,think tank-gov,energy,,5rHV9aBTeW3i
349,idaho technology council,idaho technology council,,association,technology,,osuwnteSK2ge
350,idb,idb,,intergovernmental ,finance,,4LGytTmjX5jV
351,iit research,iit research,,research institute,other,,6DYMtykewdBN
352,independent,independent,,consulting,other,,3czoCwZVf3Ps
353,infinity commercial consulting,infinity commercial consulting,,consulting,other,,6z8jkr3dAyaE
354,information systems laboratories,information systems laboratories,,contractor,defense,,6bQeCys8iSoD
355,information technology solutions,information technology solutions,,consulting,technology,,kjHo4bZmrWjk
356,infospace,infospace,,commercial,services,internet services,3XhdteRokBDE
357,initiative for collaborative government,initiative for collaborative government,,contractor,other,,5DTQt6Q5K8bf
358,instantiation,instantiation,,consulting,other,,5aMykfopjJSK
359,institute for defense analysis,institute for defense analysis,,think tank-gov,defense,national security,43U42LESwCHe
360,institute for human machine cognition,institute for human machine cognition,,university,education,,6R7cu6SUTKZZ
361,institute for the study of war,institute for the study of war,,think tank,national security,,6wLaSoqNbpkH
362,integral systems,integral systems,,contractor,aerospace,,8GGcXJacpUmb
363,integrated systems,integrated systems,,contractor,defense,,54SzoFTWthEb
364,intelius,intelius,,commercial,services,internet services,6dpJuxKtWiXo
365,intellicheck mobilisa,intellicheck mobilisa,,commercial,retail,technology,aWLnKvFeps8q
366,intelligence and national security alliance,intelligence and national security alliance,,association,national security,intelligence,3sZ6mzGwspuj
367,intercad,intercad,,consulting,technology,,3Qb83jyd6b4S
